132 Total number of subgroups: gid number new-gid [number new-gid] [message] # comment
1 same
2 same
3 same
4 same
5 same
6 same
7 1 8
8 1 7
9 0 C=C
10 1 9
11 1 10
12 1 11
13 1 12
14 1 13
15 1 14 fix_1-_and_2-propanol
16 1 1 1 14
17 same
18 same
19 same
20 same
21 same
22 1 25
23 1 26
24 0 HCOO
25 1 27
26 1 28
27 1 29
28 1 30
29 0 CH3NH2
30 0 CH2NH2
31 0 CHNH2
32 0 CH3NH
33 0 CH2NH
34 0 CHNH
35 0 CH3N
36 0 CH2N
37 1 43
38 1 50
39 1 51 
40 1 52
41 same
42 same
43 1 23
44 1 24
45 1 31
46 1 32
47 1 33
48 1 34
49 1 35
50 1 36
51 1 37
52 1 38
53 1 39
54 1 40
55 1 44
56 1 45
57 1 46
58 1 47
59 0 CS2
60 0 CH3SH
61 0 CH2SH
62 1 22
63 1 48
64 0 I
65 0 Br
66 0 CH~C
67 0 C~C
68 1 57
69 0 ACRY
70 0 Cl(C=C)
71 0 ACF
72 1 55
73 0 DMF-2
74 0 CF3
75 0 CF2
76 0 CF
77 0 COO
78 0 SiH3
79 0 SiH2
80 0 SiH
81 0 Si
82 0 SiH2O
83 0 SiHO
84 0 SiO
85 0 NMP
86 0 CCl3F
87 0 CCl2F
88 0 HCCl2F
89 0 HCClF
90 0 CClF2
91 0 HCClF2
92 0 CClF3
93 0 CCl2F2
94 0 CONH2
95 0 CONHCH3
96 0 CONHCH2
97 0 CON(CH3)2
98 0 CONCH3CH2
99 0 CON(CH2)2
100 0 C2H5O2
101 0 C2H4O2
102 0 CH3S
103 0 CH2S
104 0 CHS
105 0 Morpholine
106 0 C4H4S
107 0 C4H3S
108 0 C4H2S
118 0 CH2SuCH2
119 0 CH2SuCH
120 1 58
121 0 CH2OCH2
122 0 CH2OCH
123 0 CH2OC
124 0 CHOCH
125 0 COCH
126 0 CHOC
127 0 O=COC=O
128 0 AC-CN
129 0 AC-Br
130 0 -O-
131 0 CH2-OOH
132 0 CH-OOH
133 0 C-OOH 
134 0 CO-OOH
135 0 CH3-OO-CH2
136 0 CH2-OO-CH2
137 0 CH2-OO-CH
138 0 CH-OO-CH
139 0 CH-OO-C
140 0 C-OO-C
141 0 CO-OO-CO
