132 Total number of subgroups: gid number new-gid [number new-gid] [message] # comment
1 same
2 1 2 fix_cyclic_CH2
3 1 3 fix_cyclic_CH
4 1 4 fix_cyclic_C
5 same
6 same
7 same
8 same
9 1 70
10 1 9
11 1 10
12 1 11
13 1 12
14 1 13
15 1 14 fix_non-primary_OH
16 1 15
17 1 16
18 1 17
19 1 18
20 1 19
21 1 20
22 1 21
23 1 22
24 1 23
25 1 24
26 1 25
27 1 26
28 0 FCH2O
29 1 28
30 1 29
31 1 30
32 1 31
33 1 32
34 1 33
35 1 34
36 1 35
37 1 36
38 1 196
39 1 220
40 0 C5H3N
41 1 40 
42 1 41
43 1 42
44 1 43
45 1 44
46 1 45
47 1 46
48 1 47
49 1 48
50 1 49
51 1 50
52 1 51
53 1 52
54 1 53
55 1 54
56 1 55
57 1 56
58 1 57
59 1 58
60 1 59
61 1 60
62 1 61
63 1 62
64 1 63
65 1 64
66 1 65
67 1 66
68 1 67
69 1 68
70 1 69
71 same
72 same
73 same
74 same
75 same
76 same
77 same
78 0 SiH3
79 0 SiH2
80 0 SiH
81 0 Si
82 0 SiH2O
83 0 SiHO
84 0 SiO
85 1 86
86 0 CCl3F
87 0 CCl2F
88 0 HCCl2F
89 0 HCClF
90 0 CClF2
91 0 HCClF2
92 0 CClF3
93 0 CCl2F2
94 1 91
95 1 92
96 1 93
97 1 101
98 1 102
99 1 103
100 0 C2H5O2
101 0 C2H4O2
102 1 122
103 1 123
104 1 124
105 0 Morpholine
106 0 C4H4S 50
107 0 C4H3S 50
108 0 C4H2S 50
118 0 CH2SuCH2
119 0 CH2SuCH
120 0 OCOO
121 0 CH2OCH2
122 0 CH2OCH
123 0 CH2OC
124 0 CHOCH
125 0 COCH
126 0 CHOC
127 0 O=COC=O
128 0 AC-CN
129 0 AC-Br
130 0 -O-
131 0 CH2-OOH
132 0 CH-OOH
133 0 C-OOH
134 0 CO-OOH
135 0 CH3-OO-CH2
136 0 CH2-OO-CH2
137 0 CH2-OO-CH
138 0 CH-OO-CH
139 0 CH-OO-C
140 0 C-OO-C
141 0 CO-OO-CO
