110 Total number of subgroups: gid number new-gid [number new-gid] [message] # comment
1 same
2 1 2 fix_cyclic_CH2
3 1 3 fix_cyclic_CH
4 1 4 fix_cyclic_C
5 same
6 1 6 fix_cyclic_-CH=CH-
7 same
8 1 8 fix_cyclic_-CH=C-
9 same
10 1 15
11 1 16 fix_AC
12 1 18
13 1 19
14 1 20
15 1 34 fix_non-primary_OH
16 1 35
17 1 36
18 1 37
19 1 42
20 1 43
21 1 48
22 1 51
23 1 52
24 1 55
25 1 59
26 1 60
27 1 61
28 1 63
29 1 66
30 1 67
31 1 68
32 1 71
33 1 72
34 1 73
35 1 74
36 1 75
37 1 79
38 1 76
39 1 77
40 1 78
41 1 85
42 1 86
43 1 94
44 1 95
45 1 99
46 1 100
47 1 101
48 1 102
49 1 103
50 1 104
51 1 105
52 1 106
53 1 107
54 1 109
55 1 132
56 1 133
57 1 135
58 1 136
59 1 146
60 1 138
61 1 139
62 1 50
63 1 38
64 1 128
65 1 130
66 1 13
67 1 14
68 1 153
69 0 ACRY
70 1 108
71 1 118
72 1 161
73 1 164
74 1 112
75 1 114
76 1 117
77 1 58
78 1 197
79 1 198
80 1 199
81 1 200
82 1 201
83 1 202
84 1 203
85 1 195
86 1 120
87 1 121
88 1 122
89 1 123
90 1 124
91 1 125
92 1 126
93 1 127
94 1 169
95 1 166
96 1 168
97 1 162
98 1 163
99 1 165
100 1 39
101 2 60
102 1 142
103 1 143
104 1 144
105 1 196
106 1 147
107 1 148
108 1 149
118 0 CH2SuCH2
119 0 CH2SuCH
