Run,Replicate,PointType,A,B,C
1,1,Edge,-1,-1,0
2,1,Edge,-1,1,0
3,1,Edge,1,-1,0
4,1,Edge,1,1,0
5,1,Edge,-1,0,-1
6,1,Edge,-1,0,1
7,1,Edge,1,0,-1
8,1,Edge,1,0,1
9,1,Edge,0,-1,-1
10,1,Edge,0,-1,1
11,1,Edge,0,1,-1
12,1,Edge,0,1,1
13,1,Center,0,0,0
14,2,Edge,-1,-1,0
15,2,Edge,-1,1,0
16,2,Edge,1,-1,0
17,2,Edge,1,1,0
18,2,Edge,-1,0,-1
19,2,Edge,-1,0,1
20,2,Edge,1,0,-1
21,2,Edge,1,0,1
22,2,Edge,0,-1,-1
23,2,Edge,0,-1,1
24,2,Edge,0,1,-1
25,2,Edge,0,1,1
26,2,Center,0,0,0
27,3,Edge,-1,-1,0
28,3,Edge,-1,1,0
29,3,Edge,1,-1,0
30,3,Edge,1,1,0
31,3,Edge,-1,0,-1
32,3,Edge,-1,0,1
33,3,Edge,1,0,-1
34,3,Edge,1,0,1
35,3,Edge,0,-1,-1
36,3,Edge,0,-1,1
37,3,Edge,0,1,-1
38,3,Edge,0,1,1
39,3,Center,0,0,0
